0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
73,49,48
74,50,49
74,50,49
74,50,49
74,50,49
74,50,49
13,9,10
0,0,0
2,7,1
5,9,2
7,10,5
9,9,7
5,5,5
7,6,3
5,4,1
0,0,0
0,0,0
0,0,0
0,3,3
0,3,4
0,3,4
0,3,4
0,3,4
0,0,0
0,0,0
42,32,6
22,16,5
12,9,4
8,5,3
5,4,3
5,3,2
4,3,2
4,2,2
3,2,2
3,2,2
3,2,2
7,4,2
7,4,2
6,4,3
16,12,4
25,19,6
28,21,6
23,17,6
20,15,5
19,14,5
22,16,6
24,18,6
27,20,7
28,21,7
28,21,7
32,24,8
31,23,8
36,27,8
33,24,8
38,28,9
34,25,8
33,24,8
28,21,8
25,18,7
22,16,7
31,23,8
28,20,8
34,25,9
31,23,8
37,27,9
34,25,9
37,27,9
36,27,9
37,27,9
33,25,9
30,22,8
26,19,8
23,17,7
27,20,8
26,19,8
31,23,9
30,22,8
35,26,9
31,23,9
38,28,10
33,24,9
37,27,10
31,23,9
27,20,8
24,17,8
21,15,8
18,13,8
17,12,7
15,11,7
14,10,6
12,9,7
11,8,6
11,8,6
10,7,6
9,6,6
9,6,6
8,6,5
7,5,5
7,5,5
7,5,5
6,4,5
6,4,5
6,4,4
5,4,4
5,4,5
5,4,5
5,3,4
5,3,4
4,3,4
3,2,3
2,2,3
2,2,4
2,2,4
3,3,4
1,1,2
1,1,1
1,1,1
5,5,6
5,6,6
6,6,7
6,7,8
7,8,8
7,8,9
8,9,10
9,10,11
11,12,13
20,21,25
21,23,28
22,25,30
23,26,32
24,27,33
24,26,32
21,23,27
13,14,16
1,2,2
3,4,4
1,1,1
0,0,1
0,0,0
0,0,0
84,95,109
85,97,111
87,99,113
127,168,204
128,170,205
128,169,205
130,167,203
105,145,193
95,137,183
99,137,182
97,134,179
98,135,179
101,136,178
125,141,164
127,145,168
124,143,166
124,141,166
113,135,161
109,133,161
103,129,157
99,125,156
78,104,134
94,119,150
89,116,148
94,121,153
117,154,187
117,154,187
118,154,187
116,153,186
118,155,189
138,170,201
136,168,198
132,164,196
133,166,199
140,172,202
146,179,208
147,178,207
144,175,206
147,177,206
125,162,198
