0,0,0
0,0,0
0,0,0
0,0,0
51,49,74
44,43,63
34,32,46
25,22,31
18,16,21
15,13,17
16,13,17
15,12,17
14,11,15
12,10,14
13,10,15
22,18,22
31,27,32
44,38,42
61,52,56
73,62,68
46,39,44
30,27,26
27,23,24
32,28,28
44,38,41
52,45,49
54,46,51
62,53,58
64,54,59
66,56,59
66,56,58
66,56,58
64,54,58
12,12,17
1,1,3
6,7,12
26,33,53
24,30,50
24,30,50
39,49,75
48,63,83
11,15,25
11,14,25
12,15,25
12,15,24
12,14,21
15,20,32
55,61,80
10,13,19
10,12,16
8,10,12
8,9,11
8,9,11
8,9,11
8,8,11
8,8,12
8,9,13
8,9,13
8,9,13
8,9,13
8,9,14
11,15,21
11,15,21
10,14,20
10,14,20
10,14,20
11,15,21
12,15,21
14,5,2
17,9,7
18,10,8
23,12,10
92,66,44
9,3,2
8,2,1
26,17,14
33,21,15
25,16,12
13,15,20
12,14,20
12,14,19
11,10,12
51,27,15
42,22,13
39,21,12
30,15,6
41,21,9
38,21,9
26,15,7
16,7,2
28,14,7
19,7,2
26,11,3
23,10,3
55,27,3
27,12,3
32,15,4
15,6,1
2,2,2
22,12,10
10,7,9
11,9,12
18,14,15
15,11,14
23,11,7
24,11,5
38,24,15
49,26,17
49,23,4
28,12,2
33,14,2
30,12,2
36,16,3
33,13,3
35,14,3
28,12,3
28,13,3
28,13,4
15,5,2
8,2,1
15,6,2
36,18,8
35,18,8
28,13,5
25,11,5
27,11,3
27,11,3
25,10,3
59,32,14
37,19,9
39,20,10
34,18,9
31,16,8
33,18,11
32,15,8
47,28,20
55,40,32
52,37,30
31,20,15
49,28,12
38,19,7
30,15,7
30,15,7
34,17,3
42,22,4
43,21,4
40,20,4
40,20,4
38,19,4
39,20,4
38,19,4
39,19,4
42,22,10
43,22,10
32,14,5
34,16,7
30,14,6
39,19,7
35,19,7
21,10,5
24,13,6
24,14,7
25,15,7
16,10,11
7,7,9
18,13,14
11,12,15
15,14,15
34,21,11
61,38,19
66,42,22
47,24,10
26,11,4
55,28,14
16,2,1
45,20,4
43,18,4
40,17,3
37,16,3
45,18,4
90,51,25
88,47,22
92,52,25
230,199,118
232,213,140
