0,0,0
0,0,0
0,0,0
0,6,2
1,11,6
1,13,17
3,17,22
5,21,28
4,21,32
4,21,36
5,26,45
5,21,33
3,6,7
2,6,5
2,6,5
4,7,7
0,3,1
0,0,0
0,0,0
0,0,0
0,1,1
0,1,1
0,1,1
0,0,0
0,0,0
0,0,0
0,1,1
0,1,1
0,1,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2,3,1
4,5,2
7,8,3
8,9,3
8,9,3
6,7,2
1,2,0
0,0,0
3,4,1
141,107,64
138,103,58
65,45,19
67,47,20
67,46,20
53,36,14
56,44,35
57,48,39
62,50,41
58,46,36
57,46,37
59,48,39
62,50,41
51,36,28
33,30,28
39,38,40
33,32,32
36,34,35
39,36,37
16,18,19
14,16,17
28,26,28
27,26,27
26,25,26
14,13,13
7,7,6
3,3,3
1,2,1
0,0,0
0,0,0
104,85,60
105,85,60
105,85,59
104,84,59
105,84,59
105,84,58
105,84,58
96,78,54
41,43,25
0,0,0
0,0,0
0,0,0
111,86,58
110,86,58
21,22,22
21,23,23
21,23,23
60,36,17
113,78,43
158,97,33
55,26,5
57,30,8
45,21,4
38,17,5
171,114,60
137,73,13
67,37,10
34,18,5
27,11,1
85,36,2
106,47,2
64,40,17
58,36,14
67,42,17
68,42,15
70,42,16
115,82,47
106,74,40
81,62,41
73,60,46
72,59,45
98,69,37
69,50,26
9,15,8
41,38,28
43,40,31
44,41,33
46,43,36
46,45,37
43,42,34
36,36,29
32,33,26
28,29,22
22,22,16
21,20,13
22,20,13
37,46,49
34,37,35
55,62,66
40,39,30
39,37,30
35,35,28
28,28,22
35,35,30
38,37,30
34,33,26
31,30,22
32,32,28
37,37,33
42,40,33
37,39,33
30,32,29
40,41,36
40,40,37
33,32,25
33,32,25
31,31,26
29,29,25
29,30,26
25,24,18
34,36,32
34,36,35
32,36,34
15,15,12
53,59,60
42,50,52
46,53,57
18,20,18
26,28,26
37,40,39
