0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
3,2,0
15,10,6
29,18,13
106,86,56
102,86,62
115,96,75
176,152,109
197,150,102
163,129,82
106,86,64
86,74,65
70,67,60
55,57,52
44,48,45
37,42,40
33,37,35
32,36,34
32,36,34
31,36,34
28,32,30
0,0,0
0,0,0
0,0,0
1,1,1
0,0,0
0,0,0
0,0,0
1,1,1
1,1,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,6
2,3,10
5,8,16
2,3,11
5,8,17
4,8,17
5,12,23
11,24,37
20,40,58
25,47,67
24,47,67
24,46,66
26,42,63
27,43,63
28,44,65
27,43,64
0,0,0
0,6,10
0,4,8
0,4,8
1,3,9
1,4,11
1,7,16
3,11,25
5,18,34
5,20,37
7,24,42
7,25,44
7,27,46
7,28,48
7,28,48
3,13,21
4,14,23
4,15,25
4,17,27
4,19,30
19,38,58
19,37,57
18,37,57
17,37,57
16,36,56
4,25,41
4,24,40
4,24,39
4,23,38
17,39,60
13,34,55
10,31,50
5,20,33
6,21,33
13,33,52
14,34,53
13,34,52
13,32,50
13,31,49
12,30,48
9,31,48
10,32,48
33,77,106
36,80,110
8,23,37
43,87,118
49,98,133
11,33,56
11,32,54
11,33,56
47,97,130
41,91,124
6,5,3
114,97,84
96,91,90
63,69,75
86,88,84
39,45,44
59,62,58
85,83,77
101,96,89
58,61,60
60,61,59
61,61,59
73,84,86
67,73,76
98,110,112
112,121,121
102,89,83
85,74,69
86,79,75
61,59,58
82,78,75
93,85,81
106,109,98
91,94,85
84,89,83
105,107,92
115,101,93
120,106,99
151,134,124
151,135,124
17,17,19
28,31,32
9,16,19
94,103,99
120,122,114
117,117,108
111,105,92
84,87,81
53,62,61
58,67,67
52,65,70
122,113,88
106,109,81
115,124,96
30,35,38
84,90,86
68,67,55
38,43,43
30,24,31
81,77,65
68,66,62
66,62,50
116,112,113
119,118,116
172,190,178
123,122,116
166,164,147
133,131,125
135,131,124
112,127,125
161,147,128
135,124,114
178,154,137
178,154,137
44,109,192
21,98,187
31,108,194
42,119,201
45,120,202
48,123,204
129,121,112
150,146,139
160,163,161
165,171,170
152,179,182
146,181,184
135,169,171
